hm	lnc	aso	expr	corr	number_of_DEG	number_genes_from_himorna	TP	TN	FP	FN
H3K4me2	ENSG00000163364	ASO_G0163364_06	down	minus	21	4080	3	18	7376	116848
H3K4me2	ENSG00000163364	ASO_G0163364_06	down	plus	21	7379	3	18	7376	116848
H3K4me2	ENSG00000163364	ASO_G0163364_AD_01	up	minus	853	4080	74	779	7305	116087
H3K4me2	ENSG00000163364	ASO_G0163364_AD_01	down	plus	383	7379	71	312	7308	116554
H3K4me2	ENSG00000163364	ASO_G0163364_AD_01	up	plus	853	7379	74	779	7305	116087
H3K4me2	ENSG00000163364	ASO_G0163364_AD_01	down	minus	383	4080	71	312	7308	116554
H3K4me2	ENSG00000203721	ASO_G0203721_02	up	plus	948	3	0	948	3	123294
H3K4me2	ENSG00000203721	ASO_G0203721_02	down	plus	1058	3	2	1056	1	123186
H3K4me2	ENSG00000203721	ASO_G0203721_05	up	plus	80	3	0	80	3	124162
H3K4me2	ENSG00000203721	ASO_G0203721_05	down	plus	140	3	0	140	3	124102
H3K4me2	ENSG00000204054	ASO_G0204054_01	down	plus	2	1167	0	2	2035	122208
H3K4me2	ENSG00000204054	ASO_G0204054_01	down	minus	2	2035	0	2	2035	122208
H3K4me2	ENSG00000204054	ASO_G0204054_06	down	plus	334	1167	36	298	1999	121912
H3K4me2	ENSG00000204054	ASO_G0204054_06	up	plus	320	1167	12	308	2023	121902
H3K4me2	ENSG00000204054	ASO_G0204054_06	up	minus	320	2035	12	308	2023	121902
H3K4me2	ENSG00000204054	ASO_G0204054_06	down	minus	334	2035	36	298	1999	121912
H3K4me2	ENSG00000204054	ASO_G0204054_10	down	plus	1	1167	0	1	2035	122209
H3K4me2	ENSG00000204054	ASO_G0204054_10	down	minus	1	2035	0	1	2035	122209
H3K4me2	ENSG00000205181	ASO_G0205181_01	down	plus	65	1	0	65	1	124179
H3K4me2	ENSG00000205181	ASO_G0205181_01	up	plus	11	1	0	11	1	124233
H3K4me2	ENSG00000212978	ASO_G0212978_01	down	plus	24	3869	0	24	3869	120352
H3K4me2	ENSG00000212978	ASO_G0212978_01	up	minus	4	12332	0	4	3869	120372
H3K4me2	ENSG00000212978	ASO_G0212978_01	up	plus	4	3869	0	4	3869	120372
H3K4me2	ENSG00000212978	ASO_G0212978_01	down	minus	24	12332	0	24	3869	120352
H3K4me2	ENSG00000212978	ASO_G0212978_02	down	plus	41	3869	8	33	3861	120343
H3K4me2	ENSG00000212978	ASO_G0212978_02	up	plus	26	3869	2	24	3867	120352
H3K4me2	ENSG00000212978	ASO_G0212978_02	up	minus	26	12332	2	24	3867	120352
H3K4me2	ENSG00000212978	ASO_G0212978_02	down	minus	41	12332	8	33	3861	120343
H3K4me2	ENSG00000212978	ASO_G0212978_03	down	plus	324	3869	38	286	3831	120090
H3K4me2	ENSG00000212978	ASO_G0212978_03	up	plus	196	3869	12	184	3857	120192
H3K4me2	ENSG00000212978	ASO_G0212978_03	up	minus	196	12332	12	184	3857	120192
H3K4me2	ENSG00000212978	ASO_G0212978_03	down	minus	324	12332	38	286	3831	120090
H3K4me2	ENSG00000214548	ASO_G0214548_01	up	plus	744	1	0	744	1	123500
H3K4me2	ENSG00000214548	ASO_G0214548_01	down	plus	315	1	0	315	1	123929
H3K4me2	ENSG00000214548	ASO_G0214548_AD_09	down	plus	536	1	0	536	1	123708
H3K4me2	ENSG00000214548	ASO_G0214548_AD_09	up	plus	676	1	0	676	1	123568
H3K4me2	ENSG00000215039	ASO_G0215039_01	down	plus	571	2	0	571	2	123672
H3K4me2	ENSG00000215039	ASO_G0215039_01	down	minus	571	10	0	571	2	123672
H3K4me2	ENSG00000215039	ASO_G0215039_01	up	plus	357	2	0	357	2	123886
H3K4me2	ENSG00000215039	ASO_G0215039_01	up	minus	357	10	0	357	2	123886
H3K4me2	ENSG00000219665	ASO_G0219665_AD_04	down	plus	1	365	0	1	67	124177
H3K4me2	ENSG00000219665	ASO_G0219665_AD_04	down	minus	1	67	0	1	67	124177
H3K4me2	ENSG00000219665	ASO_G0219665_AD_08	down	plus	12	365	0	12	67	124166
H3K4me2	ENSG00000219665	ASO_G0219665_AD_08	down	minus	12	67	0	12	67	124166
H3K4me2	ENSG00000221817	ASO_G0221817_04	up	minus	77	33	0	77	33	124135
H3K4me2	ENSG00000221817	ASO_G0221817_04	down	minus	298	33	0	298	33	123914
H3K4me2	ENSG00000221817	ASO_G0221817_AD_08	down	minus	6	33	0	6	33	124206
H3K4me2	ENSG00000221817	ASO_G0221817_AD_08	up	minus	4	33	0	4	33	124208
H3K4me2	ENSG00000223478	ASO_G0223478_03	up	plus	23	2545	3	20	11940	112282
H3K4me2	ENSG00000223478	ASO_G0223478_03	up	minus	23	11944	3	20	11940	112282
H3K4me2	ENSG00000223478	ASO_G0223478_03	down	plus	175	2545	55	120	11888	112182
H3K4me2	ENSG00000223478	ASO_G0223478_03	down	minus	175	11944	55	120	11888	112182
H3K4me2	ENSG00000224165	ASO_G0224165_10	down	plus	503	1	0	503	1	123741
H3K4me2	ENSG00000224165	ASO_G0224165_10	up	plus	212	1	0	212	1	124032
H3K4me2	ENSG00000224165	ASO_G0224165_AD_07	down	plus	1	1	0	1	1	124243
H3K4me2	ENSG00000225377	ASO_G0225377_05	down	plus	2254	1	0	2254	1	121990
H3K4me2	ENSG00000225377	ASO_G0225377_05	up	plus	1826	1	0	1826	1	122418
H3K4me2	ENSG00000225439	ASO_G0225439_06	down	minus	693	206	10	683	196	123356
H3K4me2	ENSG00000225439	ASO_G0225439_06	down	plus	693	189	10	683	196	123356
H3K4me2	ENSG00000225439	ASO_G0225439_06	up	minus	340	206	0	340	206	123699
H3K4me2	ENSG00000225439	ASO_G0225439_06	up	plus	340	189	0	340	206	123699
H3K4me2	ENSG00000225733	ASO_G0225733_03	down	minus	13	6572	1	12	6571	117661
H3K4me2	ENSG00000225733	ASO_G0225733_03	down	plus	13	3776	1	12	6571	117661
H3K4me2	ENSG00000225733	ASO_G0225733_04	up	plus	106	3776	14	92	6558	117581
H3K4me2	ENSG00000225733	ASO_G0225733_04	up	minus	106	6572	14	92	6558	117581
H3K4me2	ENSG00000225733	ASO_G0225733_04	down	minus	128	6572	22	106	6550	117567
H3K4me2	ENSG00000225733	ASO_G0225733_04	down	plus	128	3776	22	106	6550	117567
H3K4me2	ENSG00000225733	ASO_G0225733_AD_03	up	minus	201	6572	26	175	6546	117498
H3K4me2	ENSG00000225733	ASO_G0225733_AD_03	up	plus	201	3776	26	175	6546	117498
H3K4me2	ENSG00000225733	ASO_G0225733_AD_03	down	minus	363	6572	97	266	6475	117407
H3K4me2	ENSG00000225733	ASO_G0225733_AD_03	down	plus	363	3776	97	266	6475	117407
H3K4me2	ENSG00000225733	ASO_G0225733_AD_06	down	plus	107	3776	22	85	6550	117588
H3K4me2	ENSG00000225733	ASO_G0225733_AD_06	up	minus	22	6572	2	20	6570	117653
H3K4me2	ENSG00000225733	ASO_G0225733_AD_06	down	minus	107	6572	22	85	6550	117588
H3K4me2	ENSG00000225733	ASO_G0225733_AD_06	up	plus	22	3776	2	20	6570	117653
H3K4me2	ENSG00000225791	ASO_G0225791_05	down	minus	3	1940	1	2	1046	123196
H3K4me2	ENSG00000225791	ASO_G0225791_05	down	plus	3	1047	1	2	1046	123196
H3K4me2	ENSG00000225791	ASO_G0225791_AD_05	up	minus	1	1940	0	1	1047	123197
H3K4me2	ENSG00000225791	ASO_G0225791_AD_05	down	plus	1	1047	0	1	1047	123197
H3K4me2	ENSG00000225791	ASO_G0225791_AD_05	up	plus	1	1047	0	1	1047	123197
H3K4me2	ENSG00000225791	ASO_G0225791_AD_05	down	minus	1	1940	0	1	1047	123197
H3K4me2	ENSG00000226950	ASO_G0226950_02	down	plus	2	44	0	2	118	124125
H3K4me2	ENSG00000226950	ASO_G0226950_02	down	minus	2	118	0	2	118	124125
H3K4me2	ENSG00000226950	ASO_G0226950_04	up	minus	44	118	0	44	118	124083
H3K4me2	ENSG00000226950	ASO_G0226950_04	down	minus	21	118	0	21	118	124106
H3K4me2	ENSG00000226950	ASO_G0226950_04	up	plus	44	44	0	44	118	124083
H3K4me2	ENSG00000226950	ASO_G0226950_04	down	plus	21	44	0	21	118	124106
H3K4me2	ENSG00000226950	ASO_G0226950_05	up	minus	23	118	0	23	118	124104
H3K4me2	ENSG00000226950	ASO_G0226950_05	down	minus	51	118	0	51	118	124076
H3K4me2	ENSG00000226950	ASO_G0226950_05	up	plus	23	44	0	23	118	124104
H3K4me2	ENSG00000226950	ASO_G0226950_05	down	plus	51	44	0	51	118	124076
H3K4me2	ENSG00000226950	ASO_G0226950_AD_07	up	plus	11	44	0	11	118	124116
H3K4me2	ENSG00000226950	ASO_G0226950_AD_07	up	minus	11	118	0	11	118	124116
H3K4me2	ENSG00000226950	ASO_G0226950_AD_07	down	minus	52	118	1	51	117	124076
H3K4me2	ENSG00000226950	ASO_G0226950_AD_07	down	plus	52	44	1	51	117	124076
H3K4me2	ENSG00000227036	ASO_G0227036_04	up	plus	144	2754	4	140	2750	121351
H3K4me2	ENSG00000227036	ASO_G0227036_04	down	plus	197	2754	21	176	2733	121315
H3K4me2	ENSG00000227036	ASO_G0227036_04	down	minus	197	5099	21	176	2733	121315
H3K4me2	ENSG00000227036	ASO_G0227036_04	up	minus	144	5099	4	140	2750	121351
H3K4me2	ENSG00000227036	ASO_G0227036_AD_07	up	minus	1	5099	0	1	2754	121490
H3K4me2	ENSG00000227036	ASO_G0227036_AD_07	up	plus	1	2754	0	1	2754	121490
H3K4me2	ENSG00000227036	ASO_G0227036_AD_07	down	minus	1	5099	0	1	2754	121490
H3K4me2	ENSG00000227036	ASO_G0227036_AD_07	down	plus	1	2754	0	1	2754	121490
H3K4me2	ENSG00000227053	ASO_G0227053_03	up	plus	653	13	0	653	13	123579
H3K4me2	ENSG00000227053	ASO_G0227053_03	down	plus	1175	13	1	1174	12	123058
H3K4me2	ENSG00000227053	ASO_G0227053_03	down	minus	1175	140	1	1174	12	123058
H3K4me2	ENSG00000227053	ASO_G0227053_03	up	minus	653	140	0	653	13	123579
H3K4me2	ENSG00000227053	ASO_G0227053_04	up	minus	135	140	0	135	13	124097
H3K4me2	ENSG00000227053	ASO_G0227053_04	up	plus	135	13	0	135	13	124097
H3K4me2	ENSG00000227053	ASO_G0227053_04	down	plus	312	13	0	312	13	123920
H3K4me2	ENSG00000227053	ASO_G0227053_04	down	minus	312	140	0	312	13	123920
H3K4me2	ENSG00000228526	ASO_G0228526_10	down	plus	8	2	0	8	2	124235
H3K4me2	ENSG00000228526	ASO_G0228526_10	up	plus	4	2	0	4	2	124239
H3K4me2	ENSG00000230074	ASO_G0230074_05	down	minus	1276	2	0	1276	2	122967
H3K4me2	ENSG00000230074	ASO_G0230074_05	up	minus	1090	2	0	1090	2	123153
H3K4me2	ENSG00000230074	ASO_G0230074_07	up	minus	57	2	0	57	2	124186
H3K4me2	ENSG00000230074	ASO_G0230074_07	down	minus	198	2	0	198	2	124045
H3K4me2	ENSG00000230417	ASO_G0230417_01	down	plus	255	6	0	255	6	123984
H3K4me2	ENSG00000230417	ASO_G0230417_01	down	minus	255	1	0	255	6	123984
H3K4me2	ENSG00000230417	ASO_G0230417_01	up	minus	146	1	0	146	6	124093
H3K4me2	ENSG00000230417	ASO_G0230417_01	up	plus	146	6	0	146	6	124093
H3K4me2	ENSG00000230417	ASO_G0230417_02	down	minus	2	1	0	2	6	124237
H3K4me2	ENSG00000230417	ASO_G0230417_02	up	plus	1	6	0	1	6	124238
H3K4me2	ENSG00000230417	ASO_G0230417_02	down	plus	2	6	0	2	6	124237
