hm	lnc	aso	expr	corr	number_of_DEG	number_genes_from_himorna	TP	TN	FP	FN
H3K9ac	ENSG00000163364	ASO_G0163364_06	down	plus	21	1481	0	21	1481	122743
H3K9ac	ENSG00000163364	ASO_G0163364_06	down	minus	21	866	0	21	1481	122743
H3K9ac	ENSG00000163364	ASO_G0163364_AD_01	down	minus	383	866	14	369	1467	122395
H3K9ac	ENSG00000163364	ASO_G0163364_AD_01	down	plus	383	1481	14	369	1467	122395
H3K9ac	ENSG00000163364	ASO_G0163364_AD_01	up	plus	853	1481	23	830	1458	121934
H3K9ac	ENSG00000163364	ASO_G0163364_AD_01	up	minus	853	866	23	830	1458	121934
H3K9ac	ENSG00000204054	ASO_G0204054_01	down	plus	2	881	1	1	880	123363
H3K9ac	ENSG00000204054	ASO_G0204054_01	down	minus	2	1416	1	1	880	123363
H3K9ac	ENSG00000204054	ASO_G0204054_06	up	minus	320	1416	4	316	877	123048
H3K9ac	ENSG00000204054	ASO_G0204054_06	down	plus	334	881	12	322	869	123042
H3K9ac	ENSG00000204054	ASO_G0204054_06	up	plus	320	881	4	316	877	123048
H3K9ac	ENSG00000204054	ASO_G0204054_06	down	minus	334	1416	12	322	869	123042
H3K9ac	ENSG00000204054	ASO_G0204054_10	down	minus	1	1416	0	1	881	123363
H3K9ac	ENSG00000204054	ASO_G0204054_10	down	plus	1	881	0	1	881	123363
H3K9ac	ENSG00000212978	ASO_G0212978_01	down	plus	24	168	0	24	168	124053
H3K9ac	ENSG00000212978	ASO_G0212978_01	down	minus	24	455	0	24	168	124053
H3K9ac	ENSG00000212978	ASO_G0212978_01	up	minus	4	455	0	4	168	124073
H3K9ac	ENSG00000212978	ASO_G0212978_01	up	plus	4	168	0	4	168	124073
H3K9ac	ENSG00000212978	ASO_G0212978_02	down	minus	41	455	1	40	167	124037
H3K9ac	ENSG00000212978	ASO_G0212978_02	down	plus	41	168	1	40	167	124037
H3K9ac	ENSG00000212978	ASO_G0212978_02	up	plus	26	168	0	26	168	124051
H3K9ac	ENSG00000212978	ASO_G0212978_02	up	minus	26	455	0	26	168	124051
H3K9ac	ENSG00000212978	ASO_G0212978_03	up	minus	196	455	1	195	167	123882
H3K9ac	ENSG00000212978	ASO_G0212978_03	down	minus	324	455	2	322	166	123755
H3K9ac	ENSG00000212978	ASO_G0212978_03	up	plus	196	168	1	195	167	123882
H3K9ac	ENSG00000212978	ASO_G0212978_03	down	plus	324	168	2	322	166	123755
H3K9ac	ENSG00000215039	ASO_G0215039_01	down	minus	571	1	0	571	4	123670
H3K9ac	ENSG00000215039	ASO_G0215039_01	down	plus	571	4	0	571	4	123670
H3K9ac	ENSG00000215039	ASO_G0215039_01	up	minus	357	1	0	357	4	123884
H3K9ac	ENSG00000215039	ASO_G0215039_01	up	plus	357	4	0	357	4	123884
H3K9ac	ENSG00000221817	ASO_G0221817_04	down	plus	298	20	2	296	18	123929
H3K9ac	ENSG00000221817	ASO_G0221817_04	down	minus	298	51	2	296	18	123929
H3K9ac	ENSG00000221817	ASO_G0221817_04	up	plus	77	20	0	77	20	124148
H3K9ac	ENSG00000221817	ASO_G0221817_04	up	minus	77	51	0	77	20	124148
H3K9ac	ENSG00000221817	ASO_G0221817_AD_08	up	plus	4	20	0	4	20	124221
H3K9ac	ENSG00000221817	ASO_G0221817_AD_08	down	plus	6	20	0	6	20	124219
H3K9ac	ENSG00000221817	ASO_G0221817_AD_08	up	minus	4	51	0	4	20	124221
H3K9ac	ENSG00000221817	ASO_G0221817_AD_08	down	minus	6	51	0	6	20	124219
H3K9ac	ENSG00000223478	ASO_G0223478_03	up	minus	23	1	0	23	1	124221
H3K9ac	ENSG00000223478	ASO_G0223478_03	down	minus	175	1	0	175	1	124069
H3K9ac	ENSG00000225377	ASO_G0225377_05	down	minus	2254	1	0	2254	1	121990
H3K9ac	ENSG00000225377	ASO_G0225377_05	up	minus	1826	1	0	1826	1	122418
H3K9ac	ENSG00000225733	ASO_G0225733_03	down	minus	13	1399	0	13	804	123428
H3K9ac	ENSG00000225733	ASO_G0225733_03	down	plus	13	804	0	13	804	123428
H3K9ac	ENSG00000225733	ASO_G0225733_04	down	plus	128	804	4	124	800	123317
H3K9ac	ENSG00000225733	ASO_G0225733_04	down	minus	128	1399	4	124	800	123317
H3K9ac	ENSG00000225733	ASO_G0225733_04	up	minus	106	1399	4	102	800	123339
H3K9ac	ENSG00000225733	ASO_G0225733_04	up	plus	106	804	4	102	800	123339
H3K9ac	ENSG00000225733	ASO_G0225733_AD_03	up	plus	201	804	0	201	804	123240
H3K9ac	ENSG00000225733	ASO_G0225733_AD_03	down	plus	363	804	21	342	783	123099
H3K9ac	ENSG00000225733	ASO_G0225733_AD_03	down	minus	363	1399	21	342	783	123099
H3K9ac	ENSG00000225733	ASO_G0225733_AD_03	up	minus	201	1399	0	201	804	123240
H3K9ac	ENSG00000225733	ASO_G0225733_AD_06	down	minus	107	1399	11	96	793	123345
H3K9ac	ENSG00000225733	ASO_G0225733_AD_06	up	plus	22	804	1	21	803	123420
H3K9ac	ENSG00000225733	ASO_G0225733_AD_06	down	plus	107	804	11	96	793	123345
H3K9ac	ENSG00000225733	ASO_G0225733_AD_06	up	minus	22	1399	1	21	803	123420
H3K9ac	ENSG00000225791	ASO_G0225791_05	down	minus	3	372	0	3	178	124064
H3K9ac	ENSG00000225791	ASO_G0225791_05	down	plus	3	178	0	3	178	124064
H3K9ac	ENSG00000225791	ASO_G0225791_AD_05	down	plus	1	178	0	1	178	124066
H3K9ac	ENSG00000225791	ASO_G0225791_AD_05	up	minus	1	372	0	1	178	124066
H3K9ac	ENSG00000225791	ASO_G0225791_AD_05	down	minus	1	372	0	1	178	124066
H3K9ac	ENSG00000225791	ASO_G0225791_AD_05	up	plus	1	178	0	1	178	124066
H3K9ac	ENSG00000226950	ASO_G0226950_02	down	plus	2	2	0	2	7	124236
H3K9ac	ENSG00000226950	ASO_G0226950_02	down	minus	2	7	0	2	7	124236
H3K9ac	ENSG00000226950	ASO_G0226950_04	down	plus	21	2	0	21	7	124217
H3K9ac	ENSG00000226950	ASO_G0226950_04	up	minus	44	7	0	44	7	124194
H3K9ac	ENSG00000226950	ASO_G0226950_04	up	plus	44	2	0	44	7	124194
H3K9ac	ENSG00000226950	ASO_G0226950_04	down	minus	21	7	0	21	7	124217
H3K9ac	ENSG00000226950	ASO_G0226950_05	down	plus	51	2	0	51	7	124187
H3K9ac	ENSG00000226950	ASO_G0226950_05	up	minus	23	7	0	23	7	124215
H3K9ac	ENSG00000226950	ASO_G0226950_05	down	minus	51	7	0	51	7	124187
H3K9ac	ENSG00000226950	ASO_G0226950_05	up	plus	23	2	0	23	7	124215
H3K9ac	ENSG00000226950	ASO_G0226950_AD_07	down	minus	52	7	0	52	7	124186
H3K9ac	ENSG00000226950	ASO_G0226950_AD_07	up	minus	11	7	0	11	7	124227
H3K9ac	ENSG00000226950	ASO_G0226950_AD_07	up	plus	11	2	0	11	7	124227
H3K9ac	ENSG00000226950	ASO_G0226950_AD_07	down	plus	52	2	0	52	7	124186
H3K9ac	ENSG00000227036	ASO_G0227036_04	down	plus	197	689	3	194	280	123768
H3K9ac	ENSG00000227036	ASO_G0227036_04	up	plus	144	689	1	143	282	123819
H3K9ac	ENSG00000227036	ASO_G0227036_04	down	minus	197	283	3	194	280	123768
H3K9ac	ENSG00000227036	ASO_G0227036_04	up	minus	144	283	1	143	282	123819
H3K9ac	ENSG00000227036	ASO_G0227036_AD_07	down	plus	1	689	0	1	283	123961
H3K9ac	ENSG00000227036	ASO_G0227036_AD_07	up	minus	1	283	0	1	283	123961
