hm	lnc	aso	expr	corr	number_of_DEG	number_genes_from_himorna	TP	TN	FP	FN
H3K79me2	ENSG00000212978	G0212978_03	up	minus	3	2911	0	3	2456	121786
H3K79me2	ENSG00000212978	G0212978_03	down	plus	4	2456	0	4	2456	121785
H3K79me2	ENSG00000212978	G0212978_03	up	plus	3	2456	0	3	2456	121786
H3K79me2	ENSG00000212978	G0212978_03	down	minus	4	2911	0	4	2456	121785
H3K79me2	ENSG00000212978	G0212978_04	up	plus	5	2456	0	5	2456	121784
H3K79me2	ENSG00000212978	G0212978_04	up	minus	5	2911	0	5	2456	121784
H3K79me2	ENSG00000212978	G0212978_04	down	plus	4	2456	0	4	2456	121785
H3K79me2	ENSG00000212978	G0212978_04	down	minus	4	2911	0	4	2456	121785
H3K79me2	ENSG00000212978	G0212978_06	down	minus	8	2911	0	8	2456	121781
H3K79me2	ENSG00000212978	G0212978_06	down	plus	8	2456	0	8	2456	121781
H3K79me2	ENSG00000213468	G0213468_04	down	minus	2	7	0	2	7	124236
H3K79me2	ENSG00000213468	G0213468_04	down	plus	2	5	0	2	7	124236
H3K79me2	ENSG00000213468	G0213468_05	down	minus	38	7	0	38	7	124200
H3K79me2	ENSG00000213468	G0213468_05	up	minus	46	7	0	46	7	124192
H3K79me2	ENSG00000213468	G0213468_05	down	plus	38	5	0	38	7	124200
H3K79me2	ENSG00000213468	G0213468_05	up	plus	46	5	0	46	7	124192
H3K79me2	ENSG00000225489	G0225489_01	down	minus	2	4	0	2	4	124239
H3K79me2	ENSG00000225489	G0225489_01	down	plus	2	4	0	2	4	124239
H3K79me2	ENSG00000227403	G0227403_01	up	minus	1	2125	0	1	2752	121492
H3K79me2	ENSG00000227403	G0227403_01	up	plus	1	2752	0	1	2752	121492
H3K79me2	ENSG00000227403	G0227403_01	down	plus	3	2752	0	3	2752	121490
H3K79me2	ENSG00000227403	G0227403_01	down	minus	3	2125	0	3	2752	121490
H3K79me2	ENSG00000227403	G0227403_02	up	minus	1	2125	0	1	2752	121492
H3K79me2	ENSG00000227403	G0227403_02	down	minus	4	2125	0	4	2752	121489
H3K79me2	ENSG00000227403	G0227403_02	down	plus	4	2752	0	4	2752	121489
H3K79me2	ENSG00000227403	G0227403_02	up	plus	1	2752	0	1	2752	121492
H3K79me2	ENSG00000227403	G0227403_04	up	plus	16	2752	1	15	2751	121478
H3K79me2	ENSG00000227403	G0227403_04	down	minus	19	2125	0	19	2752	121474
H3K79me2	ENSG00000227403	G0227403_04	up	minus	16	2125	1	15	2751	121478
H3K79me2	ENSG00000227403	G0227403_04	down	plus	19	2752	0	19	2752	121474
H3K79me2	ENSG00000227627	G0227627_03	down	minus	3	2	0	3	2	124240
H3K79me2	ENSG00000227627	G0227627_03	down	plus	3	1	0	3	2	124240
H3K79me2	ENSG00000227627	G0227627_08	down	plus	5	1	0	5	2	124238
H3K79me2	ENSG00000227627	G0227627_08	down	minus	5	2	0	5	2	124238
H3K79me2	ENSG00000228794	G0228794_01	down	minus	120	1	0	120	1	124124
H3K79me2	ENSG00000228794	G0228794_01	up	plus	130	2	0	130	1	124114
H3K79me2	ENSG00000228794	G0228794_01	up	minus	130	1	0	130	1	124114
H3K79me2	ENSG00000228794	G0228794_01	down	plus	120	2	0	120	1	124124
H3K79me2	ENSG00000228794	G0228794_04	up	minus	100	1	0	100	1	124144
H3K79me2	ENSG00000228794	G0228794_04	down	minus	188	1	0	188	1	124056
H3K79me2	ENSG00000228794	G0228794_04	up	plus	100	2	0	100	1	124144
H3K79me2	ENSG00000228794	G0228794_04	down	plus	188	2	0	188	1	124056
H3K79me2	ENSG00000231806	G0231806_07	up	minus	127	1172	0	127	252	123866
H3K79me2	ENSG00000231806	G0231806_07	up	plus	127	252	0	127	252	123866
H3K79me2	ENSG00000231806	G0231806_07	down	minus	54	1172	1	53	251	123940
H3K79me2	ENSG00000231806	G0231806_07	down	plus	54	252	1	53	251	123940
H3K79me2	ENSG00000231806	G0231806_08	up	plus	3	252	0	3	252	123990
H3K79me2	ENSG00000231806	G0231806_08	up	minus	3	1172	0	3	252	123990
H3K79me2	ENSG00000231806	G0231806_08	down	plus	3	252	0	3	252	123990
H3K79me2	ENSG00000231806	G0231806_08	down	minus	3	1172	0	3	252	123990
H3K79me2	ENSG00000234546	G0234546_02	up	plus	138	706	1	137	705	123402
H3K79me2	ENSG00000234546	G0234546_02	up	minus	138	1866	1	137	705	123402
H3K79me2	ENSG00000234546	G0234546_02	down	plus	150	706	2	148	704	123391
H3K79me2	ENSG00000234546	G0234546_02	down	minus	150	1866	2	148	704	123391
H3K79me2	ENSG00000234546	G0234546_AD_04	down	plus	1	706	0	1	706	123538
H3K79me2	ENSG00000234546	G0234546_AD_04	down	minus	1	1866	0	1	706	123538
H3K79me2	ENSG00000234546	G0234546_AD_04	up	plus	2	706	0	2	706	123537
H3K79me2	ENSG00000234546	G0234546_AD_04	up	minus	2	1866	0	2	706	123537
H3K79me2	ENSG00000234546	G0234546_AD_05	down	plus	1	706	0	1	706	123538
H3K79me2	ENSG00000234546	G0234546_AD_05	down	minus	1	1866	0	1	706	123538
H3K79me2	ENSG00000234546	G0234546_AD_06	down	minus	9	1866	0	9	706	123530
H3K79me2	ENSG00000234546	G0234546_AD_06	up	minus	9	1866	0	9	706	123530
H3K79me2	ENSG00000234546	G0234546_AD_06	up	plus	9	706	0	9	706	123530
H3K79me2	ENSG00000234546	G0234546_AD_06	down	plus	9	706	0	9	706	123530
H3K79me2	ENSG00000234546	G0234546_AD_09	down	minus	1	1866	0	1	706	123538
H3K79me2	ENSG00000234546	G0234546_AD_09	down	plus	1	706	0	1	706	123538
H3K79me2	ENSG00000234608	G0234608_03	up	minus	95	1	0	95	1	124149
H3K79me2	ENSG00000234608	G0234608_03	down	minus	21	1	0	21	1	124223
H3K79me2	ENSG00000234608	G0234608_AD_08	down	minus	27	1	0	27	1	124217
H3K79me2	ENSG00000234608	G0234608_AD_08	up	minus	12	1	0	12	1	124232
H3K79me2	ENSG00000235560	G0235560_01	down	minus	87	448	0	87	187	123971
H3K79me2	ENSG00000235560	G0235560_01	down	plus	87	187	0	87	187	123971
H3K79me2	ENSG00000235560	G0235560_01	up	minus	110	448	1	109	186	123949
H3K79me2	ENSG00000235560	G0235560_01	up	plus	110	187	1	109	186	123949
H3K79me2	ENSG00000235560	G0235560_03	down	minus	26	448	0	26	187	124032
H3K79me2	ENSG00000235560	G0235560_03	up	plus	8	187	0	8	187	124050
H3K79me2	ENSG00000235560	G0235560_03	down	plus	26	187	0	26	187	124032
H3K79me2	ENSG00000235560	G0235560_03	up	minus	8	448	0	8	187	124050
