hm	lnc	aso	expr	corr	number_of_DEG	number_genes_from_himorna	TP	TN	FP	FN
H3K9ac	ENSG00000196668	G0196668_02	up	minus	190	75	0	190	157	123898
H3K9ac	ENSG00000196668	G0196668_02	down	plus	202	157	1	200	156	123888
H3K9ac	ENSG00000196668	G0196668_02	up	plus	190	157	0	190	157	123898
H3K9ac	ENSG00000196668	G0196668_02	down	minus	202	75	1	200	156	123888
H3K9ac	ENSG00000196668	G0196668_08	up	minus	246	75	1	245	156	123843
H3K9ac	ENSG00000196668	G0196668_08	down	plus	186	157	4	182	153	123906
H3K9ac	ENSG00000196668	G0196668_08	down	minus	186	75	4	182	153	123906
H3K9ac	ENSG00000196668	G0196668_08	up	plus	246	157	1	245	156	123843
H3K9ac	ENSG00000212978	G0212978_03	up	minus	3	455	0	3	168	124074
H3K9ac	ENSG00000212978	G0212978_03	down	plus	4	168	0	4	168	124073
H3K9ac	ENSG00000212978	G0212978_03	down	minus	4	455	0	4	168	124073
H3K9ac	ENSG00000212978	G0212978_03	up	plus	3	168	0	3	168	124074
H3K9ac	ENSG00000212978	G0212978_04	down	plus	4	168	0	4	168	124073
H3K9ac	ENSG00000212978	G0212978_04	up	minus	5	455	0	5	168	124072
H3K9ac	ENSG00000212978	G0212978_04	up	plus	5	168	0	5	168	124072
H3K9ac	ENSG00000212978	G0212978_04	down	minus	4	455	0	4	168	124073
H3K9ac	ENSG00000212978	G0212978_06	down	plus	8	168	0	8	168	124069
H3K9ac	ENSG00000212978	G0212978_06	down	minus	8	455	0	8	168	124069
H3K9ac	ENSG00000213468	G0213468_04	down	plus	2	12	0	2	5	124238
H3K9ac	ENSG00000213468	G0213468_04	down	minus	2	5	0	2	5	124238
H3K9ac	ENSG00000213468	G0213468_05	up	minus	46	5	0	46	5	124194
H3K9ac	ENSG00000213468	G0213468_05	up	plus	46	12	0	46	5	124194
H3K9ac	ENSG00000213468	G0213468_05	down	plus	38	12	0	38	5	124202
